Submission ID,Respondent ID,Submitted at,Which city do you live in?,Age,Gender,Year of Study,Income Range per month (LKR),Do you prefer online shopping or in-store shopping?,How many times per month do you shop online?,Social Media,Untitled short answer field,Shopping Platforms,Untitled short answer field,How often do you shop for clothes each month?,How much money do you typically spend on clothes/clothes per month (Rs/LKR)?,Are you satisfied with the current price ranges for clothes in stores?,Are you happy with Sri Lanka's current fashion styles?,What do you do when you want to discard your old clothes?,How many pieces of clothing do you discard each year?,Do you have once or never worn clothing items in your wardrobe? ,How many once or never worn clothing items do you have?,How many functions do you have to attend per year?,How often do you re-wear a party-wear?,How much do you usually spend or willing to pay on a party wear?,How frequently do you post your photos with new party wear on social media?,How frequently do you post your photos with the same party wear (mentioned in above) on social media?,"Would you like to consider, [wearing a borrowed clothing item (for special occasions, parties, etc.)?
]","Would you like to consider, [wearing a rented clothing item (for special occasions, parties, etc.)?
]","Would you like to consider, [buying a used (but in good condition) clothing item for an affordable price (for special occasions, parties, etc.)?
]","Would you like to consider, [Do you think that there is a potential for disease transmission when wearing second-hand or previously used clothes?]","Would you like to consider, [If an app allows you to buy, rent, and resell clothes, would you like to use it?
]",What are your main drawbacks when using a second-hand clothing app? (Select all that apply),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Quality of Clothing),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Scams (Trust Issues)),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Price & Payment Methods),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Delivery Charges),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Self-Esteem),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Other),Untitled short answer field,What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Party wear (dresses, sarees, lehengas, suits))","What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Casual wear (office wear, outdoor wear))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Home wear),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Sports wear),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Footwear (shoes, heels, sandals))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Accessories),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Bags & Luggage),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Books),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Electronic devices (phones, laptops, calculators etc.))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Household appliances),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Not interested in any Second-Hand items),If you see a celebrity wearing a dress and you have the chance to buy/rent it at an affordable price would you be interested?,"If you could post a picture of yourself wearing clothes on the app and someone wants to buy or rent it, would you be interested in selling or renting it?",What would make a second-hand clothing app most appealing to you?,Untitled short answer field,Do you have any additional comments or suggestions for a second-hand clothing app?
2yXEyA,O8d9eM,2024-09-06 10:10:23,Walapane ,22 - 25,Male,1st year,Below 10K,In-Store,Once or Twice,"Other, Instagram",,"Daraz, AliExpress, eBay",,Once or Twice,"6,000 - 8,000",2,3,Discard,1 - 5,No,1 - 3,1 - 5,Once or Twice,"5,000 - 10,000",Sometimes,Sometimes,Yes,No,No,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Sports wear,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Save money,,
d1EWyV,K8vZKX,2024-09-06 10:12:13,Amapara ,22 - 25,Female,1st year,Not Employed,In-Store,Once or Twice,"Instagram, Facebook, TikTok",,"AliExpress, eBay, Shein",,Once or Twice,"2,000 - 4,000",3,2,Donate,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Rarely,Rarely,Yes,Yes,Yes,No,Yes,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Footwear (shoes, heels, sandals), Accessories, Bags & Luggage, Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Opportunity for extra income,,
RaxGXj,vqE1k0,2024-09-06 10:13:48,Colombo,22 - 25,Male,2nd year,Not Employed,In-Store,Once or Twice,Instagram,,Daraz,,Once or Twice,"2,000 - 4,000",3,3,Donate,None,Yes,1 - 3,10+,Thrice or More,"5,000 - 10,000",Sometimes,Always,No,Yes,No,Yes,No,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Accessories, Books, Household appliances",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,No,No,Opportunity for extra income,,
Jxq1OJ,olKabV,2024-09-06 10:15:30,Kalutara,22 - 25,Female,3rd year,Not Employed,In-Store,Once or Twice,WhatsApp,,AliExpress,,Once or Twice,"2,000 - 4,000",3,3,Discard,6 - 10,No,None,6 - 10,Thrice or More,"2,500 - 5,000",Sometimes,Sometimes,No,No,Yes,Yes,No,"Quality of Clothing, Self-Esteem, Scams (Trust Issues), Price & Payment Methods, Delivery Charges",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Footwear (shoes, heels, sandals), Books, Electronic devices (phones, laptops, calculators etc.)",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes, I would buy",No,Sustainability of the service,,No
1yXWVM,J8XZ1d,2024-09-06 10:15:47,Peradeniya,22 - 25,Female,2nd year,Not Employed,In-Store,Once or Twice,"Instagram, Facebook",,AliExpress,,Once or Twice,"4,000 - 6,000",1,3,Donate,None,Yes,1 - 3,6 - 10,Once or Twice,"5,000 - 10,000",Sometimes,Always,Yes,No,No,Yes,No,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,Not interested in any Second-Hand items,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No,"Yes, I would sell",Save money,,
NQrAPO,Vov6qj,2024-09-06 11:47:55,Colombo ,22 - 25,Female,1st year,Not Employed,In-Store,Once or Twice,WhatsApp,,AliExpress,,Once or Twice,"2,000 - 4,000",3,3,Donate,6 - 10,Yes,1 - 3,1 - 5,Once or Twice,"5,000 - 10,000",Never,Never,Yes,Yes,Yes,No,Yes,"Quality of Clothing, Price & Payment Methods, Delivery Charges",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,"Books, Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,Save money,,
WB2Mde,O8dv4g,2024-09-06 12:30:02,Kandy ,22 - 25,Female,1st year,Below 10K,In-Store,Once or Twice,"Facebook, Instagram",,"AliExpress, Daraz",,Once or Twice,"2,000 - 4,000",1,3,Donate,1 - 5,Yes,1 - 3,1 - 5,Thrice or More,"2,500 - 5,000",Sometimes,Rarely,Yes,Yes,Yes,Yes,Yes,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Footwear (shoes, heels, sandals), Bags & Luggage, Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Sustainability of the service,,
r152Bl,olKX8x,2024-09-06 12:51:28,Kandy ,22 - 25,Female,1st year,Not Employed,In-Store,Never,Telegram,,AliExpress,,Never,"Below 2,000",2,4,Donate,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"Less than 2,500",Never,Never,Yes,No,Yes,No,No,Self-Esteem,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Books,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,Opportunity for extra income,,
Bla81A,bNKbag,2024-09-06 12:53:02,Kandy,22 - 25,Male,1st year,Below 10K,Online,Once or Twice,Facebook,,"AliExpress, Daraz",,Never,"Below 2,000",2,3,Donate,1 - 5,No,None,1 - 5,Once or Twice,"5,000 - 10,000",Sometimes,Sometimes,Yes,Yes,Yes,No,Yes,"Quality of Clothing, Self-Esteem",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Sports wear, Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.), Household appliances",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"Yes, I would rent","Yes, I would rent",Save money,,
Jxq84Y,qjo2bO,2024-09-06 12:57:53,Kandy,22 - 25,Male,1st year,Not Employed,Online,Once or Twice,Instagram,,Daraz,,Once or Twice,"2,000 - 4,000",3,4,Donate,None,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Rarely,Never,No,Yes,No,Yes,Yes,"Quality of Clothing, Price & Payment Methods",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"Accessories, Casual wear (office wear, outdoor wear), Electronic devices (phones, laptops, calculators etc.), Household appliances",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Yes, I would rent","Yes, I would rent",Save money,,
elM9kJ,O8dWLY,2024-09-06 12:58:49,Kandy-Gampola,22 - 25,Female,1st year,Not Employed,In-Store,Once or Twice,Instagram,,AliExpress,,Never,"Below 2,000",2,4,Donate,1 - 5,No,None,1 - 5,Thrice or More,"2,500 - 5,000",Rarely,Rarely,Yes,Yes,Yes,Yes,Yes,"Quality of Clothing, Price & Payment Methods, Delivery Charges, Self-Esteem, Scams (Trust Issues)",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Bags & Luggage, Books",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,No,"Yes, I would sell",Opportunity for extra income,,
ZK8MA5,kOJy1d,2024-09-06 15:29:24,Kandy,22 - 25,Female,1st year,Not Employed,In-Store,Never,Instagram,,Daraz,,Once or Twice,"2,000 - 4,000",1,2,Donate,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"5,000 - 10,000",Sometimes,Rarely,Yes,Yes,No,No,Yes,"Quality of Clothing, Self-Esteem",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Accessories, Books, Electronic devices (phones, laptops, calculators etc.), Household appliances",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"Yes, I would buy","Yes, I would sell",Save money,,
AG2xYB,qjkGVY,2024-09-07 5:58:29,Kandy,22 - 25,Female,1st year,Not Employed,In-Store,Once or Twice,Instagram,,Shein,,Once or Twice,"2,000 - 4,000",3,3,Donate,6 - 10,Yes,1 - 3,1 - 5,Once or Twice,"5,000 - 10,000",Rarely,Rarely,No,Yes,No,No,Yes,"Quality of Clothing, Scams (Trust Issues), Delivery Charges, Price & Payment Methods",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,Books,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No,"Yes, I would sell",Functionality,,
r1aqOX,XO2qYP,2024-09-07 8:55:35,Kandy,22 - 25,Female,1st year,10K - 50K,In-Store,Never,Other,,Daraz,,Once or Twice,"2,000 - 4,000",3,5,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,Yes,Yes,Yes,Yes,No,"Delivery Charges, Price & Payment Methods, Scams (Trust Issues), Quality of Clothing, Self-Esteem",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Books, Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,No,Sustainability of the service,,
7zLA20,M876x8,2024-09-07 12:00:53,Kandy,22 - 25,Female,1st year,Not Employed,In-Store,Once or Twice,Instagram,,Daraz,,Once or Twice,"Below 2,000",2,3,Donate,1 - 5,Yes,1 - 3,1 - 5,Thrice or More,"2,500 - 5,000",Rarely,Never,Yes,Yes,Yes,No,Yes,"Quality of Clothing, Delivery Charges, Price & Payment Methods, Scams (Trust Issues)",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Footwear (shoes, heels, sandals), Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.), Household appliances, Accessories",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No,"Yes, I would sell",Sustainability of the service,,
LNPxQv,0oaRrZ,2024-09-08 11:52:51,Horana,22 - 25,Female,1st year,Not Employed,In-Store,Once or Twice,Facebook,,Daraz,,Never,"Below 2,000",2,4,Donate,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Rarely,No,Yes,No,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Bags & Luggage, Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Yes, I would rent","Yes, I would rent",Opportunity for extra income,,
DPe1Pq,dQpZqq,2024-09-10 9:01:50,Peradeniya ,22 - 25,Female,4th year,Not Employed,In-Store,Once or Twice,Facebook,,AliExpress,,Once or Twice,"2,000 - 4,000",3,2,Donate,1 - 5,Yes,1 - 3,1 - 5,Thrice or More,"2,500 - 5,000",Sometimes,Sometimes,Yes,No,No,Yes,Yes,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,Opportunity for extra income,,No
yRDEK8,YVgJ0z,2024-09-10 9:29:31,Kandy ,22 - 25,Female,4th year,10K - 50K,In-Store,Once or Twice,Other,,"Shein, AliExpress",,Once or Twice,"6,000 - 8,000",2,2,Discard,6 - 10,Yes,4-6,6 - 10,Once or Twice,"5,000 - 10,000",Sometimes,Sometimes,No,No,Yes,Yes,Yes,"Quality of Clothing, Price & Payment Methods, Scams (Trust Issues)",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,Not interested in any Second-Hand items,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Yes, I would rent","Yes, I would sell",Opportunity for extra income,,
RaLQ8j,VodaQy,2024-09-10 11:21:54,Matale,25+,Male,4th year,10K - 50K,In-Store,Never,WhatsApp,,Daraz,,Once or Twice,"Below 2,000",2,1,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Rarely,Rarely,Yes,Yes,Yes,No,Yes,"Quality of Clothing, Self-Esteem, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,"Footwear (shoes, heels, sandals), Books, Household appliances",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Yes, I would buy","Yes, I would sell",Functionality,,
o1ONoM,M8g22M,2024-09-10 11:28:36,Kandy,25+,Female,4th year,Not Employed,In-Store,Once or Twice,"Facebook, Instagram",,"AliExpress, Daraz",,Once or Twice,"2,000 - 4,000",3,4,Donate,1 - 5,Yes,4-6,1 - 5,Thrice or More,"2,500 - 5,000",Sometimes,Rarely,Yes,No,Yes,No,Yes,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods, Self-Esteem, Delivery Charges",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Footwear (shoes, heels, sandals), Accessories, Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Save money,,
NQ012O,GYgOQo,2024-09-10 11:47:24,Wennappuwa,25+,Female,4th year,Not Employed,In-Store,Once or Twice,Facebook,,AliExpress,,Once or Twice,"Below 2,000",2,4,Donate,1 - 5,No,None,1 - 5,Once or Twice,"5,000 - 10,000",Sometimes,Rarely,Yes,No,No,Yes,No,"Price & Payment Methods, Delivery Charges, Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would rent",No,Opportunity for extra income,,
p1G4lE,e9Pa8o,2024-09-10 14:25:53,Kandy,25+,Male,4th year,Below 10K,In-Store,Never,"Facebook, Instagram",,"AliExpress, Daraz, eBay",,Never,"Below 2,000",3,3,Donate,1 - 5,No,None,1 - 5,Thrice or More,"Less than 2,500",Rarely,Sometimes,No,Yes,No,Yes,No,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Home wear, Electronic devices (phones, laptops, calculators etc.)",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Yes, I would buy",No,Save money,,
